class	GeneID
non-siRNA-PPR	AT5G46680.1
non-siRNA-PPR	AT4G21065.1
non-siRNA-PPR	AT4G20740.1
non-siRNA-PPR	AT1G20230.1
non-siRNA-PPR	AT5G15340.1
non-siRNA-PPR	AT3G14730.1
non-siRNA-PPR	AT3G16610.1
non-siRNA-PPR	AT3G07290.1
non-siRNA-PPR	AT1G31790.1
non-siRNA-PPR	AT1G64310.1
non-siRNA-PPR	AT1G47580.1
non-siRNA-PPR	AT4G16470.1
non-siRNA-PPR	AT5G15280.1
non-siRNA-PPR	AT1G19290.1
non-siRNA-PPR	AT5G14080.1
non-siRNA-PPR	AT3G62890.1
non-siRNA-PPR	AT3G49730.1
non-siRNA-PPR	AT5G43790.1
non-siRNA-PPR	AT3G15200.1
non-siRNA-PPR	AT3G09040.1
non-siRNA-PPR	AT1G26500.1
non-siRNA-PPR	AT1G08070.1
non-siRNA-PPR	AT3G46790.1
non-siRNA-PPR	AT2G32630.1
non-siRNA-PPR	AT2G20720.1
non-siRNA-PPR	AT5G62370.1
non-siRNA-PPR	AT4G33990.1
non-siRNA-PPR	AT3G61360.1
non-siRNA-PPR	AT3G60980.1
non-siRNA-PPR	AT3G02330.1
non-siRNA-PPR	AT1G13630.1
non-siRNA-PPR	AT5G09320.1
non-siRNA-PPR	AT4G28010.1
non-siRNA-PPR	AT2G01510.1
non-siRNA-PPR	AT2G34400.1
non-siRNA-PPR	AT5G61990.1
non-siRNA-PPR	AT2G16650.1
non-siRNA-PPR	AT3G04130.1
non-siRNA-PPR	AT1G33350.1
non-siRNA-PPR	AT4G14850.1
non-siRNA-PPR	AT2G03880.1
non-siRNA-PPR	AT1G80880.1
non-siRNA-PPR	AT5G18475.1
non-siRNA-PPR	AT3G23020.1
non-siRNA-PPR	AT3G18970.1
non-siRNA-PPR	AT3G18020.1
non-siRNA-PPR	AT3G04750.1
non-siRNA-PPR	AT2G38420.1
non-siRNA-PPR	AT1G77405.1
non-siRNA-PPR	AT1G77010.1
non-siRNA-PPR	AT1G80150.1
non-siRNA-PPR	AT1G07740.1
non-siRNA-PPR	AT5G44230.1
non-siRNA-PPR	AT2G17525.1
non-siRNA-PPR	AT2G17140.1
non-siRNA-PPR	AT1G29710.1
non-siRNA-PPR	AT1G18485.1
non-siRNA-PPR	AT3G49170.1
non-siRNA-PPR	AT1G05600.2
