ID	Class
AT5G50390	non-siRNA-PPR
AT5G46460	non-siRNA-PPR
AT5G43820	non-siRNA-PPR
AT5G42450	non-siRNA-PPR
AT5G40410	non-siRNA-PPR
AT5G40405	non-siRNA-PPR
AT5G39680	non-siRNA-PPR
AT5G18950	non-siRNA-PPR
AT5G16860	non-siRNA-PPR
AT5G15300	non-siRNA-PPR
AT5G11310	non-siRNA-PPR
AT5G09950	non-siRNA-PPR
AT5G08490	non-siRNA-PPR
AT5G06540	non-siRNA-PPR
AT5G03800	non-siRNA-PPR
AT5G03560	non-siRNA-PPR
AT4G39952	non-siRNA-PPR
AT4G39530	non-siRNA-PPR
AT4G38010	non-siRNA-PPR
AT4G37170	non-siRNA-PPR
AT4G36680	non-siRNA-PPR
AT4G35130	non-siRNA-PPR
AT4G31070	non-siRNA-PPR
AT4G30700	non-siRNA-PPR
AT4G22760	non-siRNA-PPR
AT4G21300	non-siRNA-PPR
AT4G20770	non-siRNA-PPR
AT4G19220	non-siRNA-PPR
AT4G19191	non-siRNA-PPR
AT4G15720	non-siRNA-PPR
AT4G14820	non-siRNA-PPR
AT4G14170	non-siRNA-PPR
AT4G08210	non-siRNA-PPR
AT4G04370	non-siRNA-PPR
AT4G01990	non-siRNA-PPR
AT3G61170	non-siRNA-PPR
AT3G57430	non-siRNA-PPR
AT3G53360	non-siRNA-PPR
AT3G47840	non-siRNA-PPR
AT3G28640	non-siRNA-PPR
AT3G25970	non-siRNA-PPR
AT3G25060	non-siRNA-PPR
AT3G22670	non-siRNA-PPR
AT3G21470	non-siRNA-PPR
AT3G18840	non-siRNA-PPR
AT3G16890	non-siRNA-PPR
AT3G15930	non-siRNA-PPR
AT3G13880	non-siRNA-PPR
AT3G13770	non-siRNA-PPR
AT3G11380	non-siRNA-PPR
AT3G11350	non-siRNA-PPR
AT3G08820	non-siRNA-PPR
AT3G05240	non-siRNA-PPR
AT3G02010	non-siRNA-PPR
AT2G48000	non-siRNA-PPR
AT2G46050	non-siRNA-PPR
AT2G44880	non-siRNA-PPR
AT2G39620	non-siRNA-PPR
AT2G39230	non-siRNA-PPR
AT2G37320	non-siRNA-PPR
AT2G36980	non-siRNA-PPR
AT2G34370	non-siRNA-PPR
AT2G33760	non-siRNA-PPR
AT2G27610	non-siRNA-PPR
AT2G25580	non-siRNA-PPR
AT2G21090	non-siRNA-PPR
AT2G20540	non-siRNA-PPR
AT2G17210	non-siRNA-PPR
AT2G15630	non-siRNA-PPR
AT2G01390	non-siRNA-PPR
AT2G01360	non-siRNA-PPR
AT1G77340	non-siRNA-PPR
AT1G77170	non-siRNA-PPR
AT1G77150	non-siRNA-PPR
AT1G74630	non-siRNA-PPR
AT1G74580	non-siRNA-PPR
AT1G74400	non-siRNA-PPR
AT1G73400	non-siRNA-PPR
AT1G71460	non-siRNA-PPR
AT1G62260	non-siRNA-PPR
AT1G53600	non-siRNA-PPR
AT1G53330	non-siRNA-PPR
AT1G43980	non-siRNA-PPR
AT1G43010	non-siRNA-PPR
AT1G34160	non-siRNA-PPR
AT1G31840	non-siRNA-PPR
AT1G31430	non-siRNA-PPR
AT1G28690	non-siRNA-PPR
AT1G14470	non-siRNA-PPR
AT1G13040	non-siRNA-PPR
AT1G10330	non-siRNA-PPR
AT1G09680	non-siRNA-PPR
AT1G09220	non-siRNA-PPR
AT1G09190	non-siRNA-PPR
AT1G06270	non-siRNA-PPR
AT1G03560	non-siRNA-PPR
AT1G03540	non-siRNA-PPR
AT1G03510	non-siRNA-PPR
AT1G03100	non-siRNA-PPR
AT1G02420	non-siRNA-PPR
